,predict,actual
0,84,88
1,16,15
2,34,26
3,58,57
4,0,0
5,28,26
6,48,48
7,62,58
8,20,20
9,0,0
10,21,20
11,22,20
12,31,27
13,8,8
14,0,0
15,37,26
16,32,27
17,51,48
18,50,52
19,53,49
20,72,75
21,0,0
22,0,0
23,4,0
24,18,15
25,10,7
26,46,38
27,54,46
28,68,64
29,34,32
30,0,0
31,53,52
32,32,31
33,26,31
34,18,17
35,31,27
36,68,75
37,45,43
38,35,31
39,0,0
40,25,21
41,70,81
42,78,83
43,8,10
44,32,27
45,4,6
46,8,8
47,22,20
48,63,62
49,79,80
50,11,13
51,62,58
52,50,45
53,0,0
54,61,58
55,2,0
56,73,71
57,30,26
58,56,54
59,10,10
60,18,15
61,73,73
62,33,29
63,7,5
64,4,7
65,79,80
66,4,3
67,53,52
68,55,58
69,20,17
70,52,51
71,62,63
72,27,24
73,29,21
74,28,26
75,50,49
76,0,3
77,35,32
78,50,51
79,57,49
80,28,27
81,47,40
82,0,0
83,7,8
84,0,0
85,18,17
86,35,29
87,48,46
88,12,8
89,3,3
90,6,5
91,62,62
92,61,61
93,0,0
94,44,37
95,31,27
96,47,46
97,4,3
98,0,0
99,29,26
100,27,24
101,46,43
102,14,13
103,27,26
104,0,0
105,18,17
106,38,35
107,26,29
108,23,17
109,8,7
110,63,67
111,68,73
112,46,46
113,26,24
114,86,90
115,1,0
116,0,0
117,62,63
118,46,69
119,56,52
120,39,34
121,75,71
122,0,3
123,52,52
124,50,59
125,0,0
126,53,52
127,52,52
128,23,20
129,70,69
130,3,1
131,34,31
132,28,24
133,62,62
134,27,26
135,85,81
136,51,48
137,57,58
138,80,85
139,0,0
140,36,31
141,46,41
142,60,52
143,58,59
144,51,46
145,4,5
146,0,0
147,13,12
148,8,8
149,44,45
150,0,0
151,52,52
152,51,54
153,12,14
154,15,13
155,53,52
156,33,27
157,0,1
158,0,0
159,38,37
160,0,1
161,22,20
162,31,29
163,0,0
164,12,20
165,5,5
166,53,52
167,4,13
168,66,64
169,60,58
170,58,55
171,0,0
172,49,49
173,53,57
174,10,7
175,17,15
176,0,3
177,79,85
178,0,5
179,25,26
180,0,0
181,0,1
182,14,13
183,7,6
