,predict,actual
0,84,96
1,1,0
2,0,0
3,79,83
4,42,45
5,60,69
6,10,6
7,77,85
8,44,51
9,18,20
10,8,6
11,26,24
12,14,7
13,40,41
14,10,10
15,52,63
16,2,0
17,15,13
18,30,31
19,4,5
20,0,0
21,13,13
22,57,67
23,22,23
24,24,26
25,29,29
26,57,59
27,0,0
28,12,10
29,13,12
30,51,55
31,19,17
32,8,7
33,65,75
34,50,54
35,74,90
36,28,29
37,3,0
38,21,23
39,3,0
40,73,85
41,28,32
42,55,67
43,6,7
44,0,0
45,51,59
46,44,38
47,9,7
48,43,48
49,11,13
50,82,94
51,40,38
52,10,10
53,43,46
54,26,29
55,2,0
56,3,1
57,24,26
58,43,46
59,31,29
60,8,3
61,17,20
62,0,0
63,56,68
64,11,13
65,37,35
66,33,32
67,11,7
68,27,24
69,0,0
70,22,20
71,52,58
72,37,38
73,51,69
74,32,34
75,29,29
76,40,43
77,1,0
78,22,24
79,21,17
80,26,29
81,84,90
82,8,10
83,28,31
84,30,35
85,28,27
86,45,49
87,10,5
88,3,1
89,18,17
90,35,35
91,42,49
92,26,26
93,31,31
94,0,0
95,42,40
96,5,3
97,53,61
98,21,20
99,58,59
100,55,46
101,83,85
102,5,5
103,23,21
104,44,45
105,39,40
106,0,0
107,2,1
108,5,5
109,11,10
110,16,15
111,11,10
112,7,6
113,16,14
114,9,7
115,44,45
116,15,15
117,2,0
118,6,1
119,48,52
120,0,0
121,0,0
122,13,6
123,73,91
124,17,17
125,2,0
126,18,17
127,47,54
128,49,49
129,1,0
130,50,52
131,25,24
132,32,35
133,13,12
134,51,59
135,0,0
136,16,15
137,19,20
138,16,15
139,45,45
140,22,21
141,0,0
142,17,17
143,38,46
144,0,0
145,2,0
146,1,0
147,67,63
148,25,29
149,54,61
150,25,24
151,23,24
152,65,75
153,24,26
154,14,12
155,29,27
156,0,3
157,23,24
158,6,6
159,18,17
160,25,21
161,6,3
162,23,21
163,6,8
164,21,20
165,56,75
166,36,38
167,4,3
168,0,1
169,60,63
170,1,3
171,42,45
172,64,69
173,26,24
174,0,0
175,1,1
176,0,1
177,53,65
178,77,85
179,49,62
180,36,34
181,10,8
182,11,6
183,2,3
184,7,5
185,21,20
186,33,35
187,11,10
188,29,31
189,60,75
190,4,3
191,6,3
192,32,32
193,47,49
194,59,75
195,1,0
196,0,0
197,48,51
198,52,52
199,6,3
200,71,80
201,9,10
202,11,13
203,10,7
204,50,55
205,0,0
206,42,52
207,47,54
208,57,58
209,15,13
210,77,87
211,32,37
212,1,0
213,7,8
214,25,29
215,52,54
216,40,37
217,47,49
218,51,55
219,21,27
220,37,40
221,5,0
222,41,43
223,13,14
224,10,15
225,25,26
226,37,38
227,1,0
228,18,17
229,43,43
230,0,0
231,49,55
232,14,15
233,21,24
234,50,55
235,21,23
236,3,0
237,55,64
238,31,26
239,17,15
240,20,21
241,54,75
242,6,3
243,70,80
244,46,52
245,67,75
246,57,64
247,38,43
248,46,49
249,18,17
250,23,24
251,51,59
252,0,3
253,57,82
254,22,24
255,0,0
256,0,0
257,27,29
258,44,43
259,10,8
260,5,3
261,13,13
262,50,57
263,31,29
264,1,0
265,41,43
266,1,0
267,24,27
268,28,31
269,49,52
270,11,12
271,14,15
272,51,59
273,46,49
274,24,26
275,0,1
276,65,69
277,65,69
278,3,3
279,29,26
280,7,5
281,50,54
282,31,34
283,5,6
284,29,32
285,0,3
286,17,17
287,59,59
288,2,0
289,26,27
290,15,13
291,1,0
292,66,73
293,7,8
294,1,0
295,0,0
296,30,31
297,35,31
298,5,3
299,25,27
300,5,3
301,52,59
302,5,3
303,0,0
304,72,85
305,10,8
306,18,20
307,67,70
308,65,63
309,7,1
310,45,51
311,50,52
312,0,0
313,14,13
314,26,31
315,9,8
316,70,75
317,23,23
318,63,75
319,61,63
320,62,69
321,17,14
322,15,14
323,68,75
324,34,37
325,25,23
326,29,31
327,52,52
328,43,51
329,16,17
330,39,40
331,63,69
332,6,6
333,43,51
334,34,38
335,36,37
336,33,37
337,34,40
338,10,8
339,4,5
340,75,82
341,0,0
342,0,0
343,8,6
344,56,58
345,64,85
346,7,6
347,49,54
348,0,0
349,48,52
350,23,23
351,23,26
352,2,0
353,50,51
354,0,0
355,5,3
356,27,27
357,0,1
358,1,5
359,11,14
360,48,49
361,2,3
362,23,21
363,81,87
364,50,59
365,23,21
366,28,37
367,39,40
368,2,1
369,33,35
370,0,0
371,53,52
372,47,48
373,24,26
374,7,5
375,12,8
376,65,77
377,0,0
378,33,31
379,53,61
380,20,20
381,53,68
382,50,51
383,45,46
384,3,3
385,34,37
386,11,13
387,58,52
388,11,7
389,0,1
390,0,0
391,39,45
392,0,0
393,1,1
394,4,7
395,35,34
396,21,26
397,43,43
398,4,3
399,0,1
400,19,18
401,77,98
402,32,37
403,35,41
404,17,17
405,26,31
406,34,32
