,predict,actual
0,45,75
1,3,1
2,24,26
3,62,58
4,3,1
5,18,14
6,3,1
7,51,52
8,5,5
9,4,0
10,5,7
11,24,21
12,56,52
13,32,17
14,2,0
15,60,58
16,50,57
17,4,0
18,29,29
19,32,37
20,44,34
21,15,20
22,37,24
23,52,45
24,3,0
25,55,43
26,2,5
27,9,7
28,24,3
29,56,64
30,6,10
31,3,1
32,21,59
33,50,64
34,42,48
35,3,1
36,3,0
37,3,1
38,29,24
39,12,12
40,22,29
41,51,63
42,57,80
43,54,61
44,21,20
45,3,0
46,50,58
47,4,0
48,76,59
49,3,0
50,27,24
51,31,17
52,36,35
53,2,0
54,3,0
55,25,27
56,57,64
57,19,20
58,13,5
59,3,0
60,39,43
61,4,0
62,59,55
63,70,85
64,26,15
65,83,69
66,2,0
67,3,0
68,3,1
69,39,71
70,3,0
71,45,43
72,39,75
73,19,31
74,44,35
75,3,0
76,30,24
77,77,81
78,3,1
79,3,1
80,8,0
81,4,7
82,37,26
83,37,54
84,39,49
85,76,90
86,3,0
87,3,0
88,49,55
89,45,48
90,3,1
91,31,54
92,26,26
93,6,5
94,52,55
95,22,0
96,55,43
97,26,29
98,35,34
99,7,8
100,39,34
101,3,3
102,31,34
103,40,75
104,62,69
105,7,3
106,32,21
107,29,29
108,42,43
109,3,5
110,19,24
111,41,52
112,31,26
113,24,21
114,34,26
115,53,49
116,57,49
117,13,17
118,60,52
119,2,0
120,3,0
121,11,14
122,5,3
123,26,26
124,64,61
125,5,3
126,3,0
127,32,27
128,37,29
129,3,0
130,35,0
131,28,17
132,61,64
133,36,34
134,3,0
135,46,38
136,82,75
137,33,34
138,49,48
139,43,35
140,47,55
141,3,7
142,35,38
143,35,46
144,2,0
145,3,1
146,45,45
147,25,24
148,63,55
149,40,35
150,3,0
151,30,29
152,46,46
153,19,20
154,24,24
155,28,24
156,8,10
157,16,15
158,43,34
159,27,17
160,2,0
161,32,40
162,69,71
163,27,31
164,2,0
165,25,20
166,11,3
167,14,13
168,11,29
169,4,3
170,23,17
171,10,6
172,29,27
173,36,34
174,45,37
175,24,21
176,25,17
177,13,14
178,4,3
179,9,7
180,57,59
181,37,35
182,46,52
183,46,48
184,15,15
185,3,3
186,33,24
187,30,23
188,64,58
189,42,37
190,80,80
191,14,20
192,8,7
193,40,38
194,6,3
195,2,3
196,42,41
197,36,35
198,41,37
199,3,6
200,53,65
201,43,49
202,13,17
203,76,69
204,70,75
205,23,21
206,42,31
207,2,0
208,3,3
209,3,5
210,3,0
211,18,17
212,3,3
213,50,34
214,16,13
215,75,73
216,3,0
217,50,49
218,4,7
219,18,17
220,6,0
221,51,41
222,29,24
223,9,10
224,18,20
225,3,7
226,17,10
227,33,37
228,13,13
229,36,34
230,6,5
231,46,46
232,61,55
233,27,26
234,3,1
235,3,3
236,2,1
237,30,24
238,3,0
239,3,0
240,53,45
241,41,34
242,18,21
243,68,68
244,3,6
245,50,76
246,3,0
247,7,6
248,73,85
249,48,71
250,33,34
251,2,1
252,5,8
253,5,1
254,3,0
255,2,1
256,43,54
257,3,0
258,24,17
259,70,64
260,29,29
261,2,3
262,23,27
263,3,0
264,28,34
265,3,0
266,63,75
267,3,3
268,2,0
269,47,40
270,3,1
271,2,0
272,10,10
273,62,63
274,36,54
275,27,24
276,52,68
277,34,29
278,33,31
279,2,0
280,3,0
281,6,7
282,57,79
283,35,24
284,27,26
285,2,0
286,2,5
287,23,15
288,43,46
289,3,1
290,16,15
291,3,0
292,38,35
293,9,8
294,19,21
295,50,37
296,78,82
297,14,14
298,33,26
299,18,21
300,45,43
301,27,23
302,37,29
303,15,20
304,7,0
305,3,0
306,26,52
307,2,0
308,13,13
309,7,10
310,100,94
311,23,15
312,17,17
313,23,17
314,28,24
315,12,1
316,70,65
317,5,3
318,48,59
319,19,15
320,8,7
321,67,64
322,53,55
323,9,8
324,45,27
325,3,0
326,41,20
327,46,68
328,43,18
329,35,38
330,63,85
331,44,58
332,21,17
333,50,49
334,2,1
335,3,3
336,47,41
337,43,48
338,3,3
339,55,49
340,2,3
341,23,17
342,53,55
343,3,0
344,28,24
345,2,3
346,44,55
347,31,29
348,45,29
349,65,51
350,25,20
351,15,14
352,56,55
353,23,20
354,2,1
355,48,63
356,37,34
357,37,34
358,2,0
359,55,86
360,25,24
361,4,7
362,7,1
363,3,3
364,3,7
365,3,5
366,32,24
367,16,7
368,41,49
369,22,24
370,3,0
371,3,3
372,35,37
373,2,0
374,29,24
375,19,23
376,46,68
377,21,23
378,44,45
379,10,15
380,39,37
381,3,1
382,59,55
383,41,43
384,15,13
385,3,0
386,3,0
387,8,17
388,11,13
389,41,74
390,25,18
391,26,0
392,38,13
393,72,63
394,2,0
395,45,43
396,17,14
397,46,52
398,22,17
399,18,7
400,3,3
401,6,3
402,3,0
403,3,3
404,3,1
405,14,17
406,11,13
407,45,38
408,27,24
409,41,46
410,2,0
411,13,12
412,27,18
413,5,5
414,45,45
415,60,86
416,28,23
417,25,15
418,27,23
419,17,15
420,59,58
421,3,3
422,3,3
423,17,18
424,23,17
425,3,0
426,6,6
427,3,3
428,23,21
429,29,29
430,73,83
431,41,41
432,38,31
433,11,7
434,3,3
435,59,57
436,77,75
437,2,0
438,29,15
439,18,17
440,2,0
441,3,0
442,3,0
443,29,29
444,39,35
445,2,0
446,34,29
447,49,58
448,3,0
449,4,7
450,43,38
451,3,6
452,2,3
453,81,85
454,38,31
455,87,69
456,27,35
457,33,31
458,49,71
459,5,7
460,8,10
461,9,10
462,85,85
463,3,0
464,45,64
465,46,31
466,12,10
467,36,52
468,51,46
469,28,24
470,40,52
471,3,0
472,24,17
473,3,1
474,41,65
475,11,13
476,9,12
477,56,65
478,22,20
479,28,21
480,34,29
481,53,54
482,40,35
483,56,51
484,50,55
485,38,29
486,28,21
487,60,52
488,71,68
489,23,15
490,29,31
491,43,49
492,58,49
493,33,31
494,2,0
495,17,20
496,32,38
497,42,31
498,3,1
499,42,85
500,27,24
501,36,31
502,35,34
503,40,34
504,26,24
505,23,24
506,3,0
507,20,17
508,14,20
509,6,6
510,3,0
511,3,3
512,66,68
513,3,6
514,6,8
515,29,38
516,3,0
517,44,38
518,4,1
519,2,0
520,30,34
521,2,0
522,36,35
523,28,27
524,56,52
525,52,58
526,24,24
527,10,8
528,13,17
529,2,0
530,3,3
531,15,17
532,25,26
533,6,3
534,30,32
535,25,29
536,35,31
537,3,7
538,54,54
539,26,24
540,35,31
541,5,3
542,38,24
543,47,54
544,3,3
545,33,31
546,8,14
547,51,57
548,29,24
549,16,18
550,8,8
551,24,24
552,3,1
553,55,58
554,41,37
555,68,69
556,6,7
557,37,37
558,58,71
559,22,18
560,22,10
561,31,34
562,42,34
563,32,45
564,68,69
565,8,5
566,39,38
567,31,26
568,34,37
569,14,10
570,66,63
571,29,46
572,37,31
573,3,6
574,51,40
575,3,0
576,29,24
577,54,51
578,3,1
579,3,0
580,2,0
581,8,7
582,39,18
583,3,1
584,48,55
585,45,34
586,3,3
587,33,27
588,10,5
589,47,49
590,33,35
591,2,1
592,38,38
593,66,63
594,3,0
595,2,3
596,14,15
597,22,20
598,8,10
599,5,6
600,75,73
601,3,0
602,27,24
603,38,26
604,34,24
605,64,55
606,64,80
607,3,3
608,2,0
609,37,31
610,2,0
611,64,70
612,23,20
613,5,1
614,17,13
615,23,17
616,4,3
617,36,37
618,19,20
619,51,38
620,4,1
621,5,0
622,32,27
623,45,46
624,3,5
625,31,24
626,76,76
627,40,48
628,2,0
629,30,31
630,64,85
631,41,29
632,28,31
633,68,85
634,25,29
635,6,0
636,2,3
637,32,3
638,47,48
639,43,57
640,38,38
641,68,71
642,2,0
643,7,5
644,4,3
645,23,21
646,7,7
647,70,62
648,46,45
649,3,0
650,42,27
651,14,15
652,63,93
653,56,59
654,35,35
655,26,24
656,23,17
657,3,8
658,2,0
659,3,0
660,6,3
661,44,35
662,3,3
663,63,58
664,24,27
665,18,17
666,26,27
667,50,55
668,4,0
669,48,51
670,21,13
671,4,0
672,46,46
673,34,29
674,3,8
675,19,17
676,38,34
677,18,24
678,30,21
679,2,0
680,8,7
681,35,31
682,51,52
683,2,3
684,15,13
685,62,69
686,26,20
687,36,31
688,29,20
689,4,5
690,43,63
691,70,85
692,23,20
693,12,15
694,44,26
695,3,0
696,4,3
697,31,27
698,7,7
699,3,0
700,3,0
701,49,58
702,5,7
703,52,71
704,41,29
705,26,15
706,47,49
707,51,52
708,3,0
709,50,37
710,5,3
711,67,76
712,68,62
713,32,27
714,49,64
715,41,34
716,2,3
717,67,58
718,36,13
719,2,0
720,24,20
721,36,37
722,3,0
723,60,45
724,34,29
725,65,71
726,39,35
727,49,38
728,9,13
729,26,26
730,25,27
731,4,7
732,49,27
733,3,0
734,27,17
735,32,24
736,50,57
737,59,57
738,56,58
739,2,0
740,3,6
741,3,1
742,20,17
743,24,21
744,12,17
745,27,15
746,3,5
747,40,45
748,65,69
749,60,80
750,41,45
751,22,20
752,55,57
753,3,1
754,4,0
755,57,76
756,58,54
757,35,31
758,24,17
759,62,85
760,45,65
761,4,1
762,13,17
763,4,5
764,39,37
765,41,26
766,28,26
767,14,15
768,3,0
769,35,31
770,25,24
771,66,63
772,65,64
773,6,1
774,34,31
775,3,6
776,28,17
777,48,43
778,3,1
779,55,85
780,64,58
781,16,5
782,35,26
783,20,24
784,39,38
785,4,0
786,3,0
787,3,6
788,33,31
789,9,48
790,51,48
791,60,59
792,14,10
793,3,0
794,8,7
795,71,85
