,predict,actual
0,6,5
1,38,37
2,2,0
3,0,1
4,45,46
5,38,46
6,26,31
7,50,71
8,67,75
9,21,26
10,28,38
11,43,54
12,48,54
13,10,13
14,42,75
15,12,13
16,52,59
17,62,79
18,11,8
19,5,1
20,48,85
21,61,64
22,12,14
23,19,20
24,24,24
25,4,6
26,27,24
27,60,75
28,24,26
29,55,52
30,21,26
31,10,3
32,9,13
33,1,0
34,83,90
35,8,10
36,30,31
37,40,43
38,55,58
39,7,1
40,22,0
41,46,62
42,30,37
43,24,26
44,33,40
45,25,31
46,1,6
47,14,13
48,1,6
49,1,0
50,85,90
51,53,49
52,43,40
53,42,75
54,59,54
55,9,7
56,20,15
57,33,35
58,29,29
59,6,0
60,35,31
61,18,21
62,39,45
63,53,62
64,21,26
65,0,0
66,46,49
67,16,17
68,6,6
69,47,70
70,56,67
71,74,85
72,3,5
73,51,58
74,40,57
75,58,58
76,44,49
77,10,14
78,3,0
79,48,49
80,0,0
81,23,21
82,11,7
83,44,52
84,17,3
85,29,34
86,12,3
87,18,24
88,37,32
89,4,1
90,8,3
91,6,3
92,57,75
93,18,17
94,50,55
95,22,26
96,4,3
97,9,10
98,8,7
99,60,85
100,12,8
101,23,24
102,37,34
103,46,75
104,55,55
105,44,46
106,45,55
107,49,61
108,12,10
109,3,12
110,50,54
111,76,79
112,30,58
113,0,0
114,59,85
115,1,1
116,11,6
117,8,14
118,2,3
119,45,69
120,12,10
121,10,13
122,65,67
123,57,75
124,57,58
125,1,0
126,23,27
127,22,24
128,33,29
129,38,52
130,49,55
131,30,20
132,3,1
133,52,61
134,47,52
135,3,3
136,5,10
137,16,17
138,46,51
139,6,1
140,38,49
141,5,3
142,12,13
143,67,64
144,43,40
145,58,64
146,14,20
147,21,27
148,54,58
149,31,35
150,76,71
151,14,15
152,27,34
153,47,80
154,55,55
155,11,13
156,25,34
157,61,65
158,22,29
159,12,8
160,15,20
161,62,71
162,71,64
163,27,21
164,7,10
165,4,0
166,0,5
167,11,10
168,11,24
169,66,75
170,11,15
171,26,27
172,50,52
173,76,92
174,30,29
175,41,59
176,39,49
177,0,0
178,31,27
179,22,21
180,26,29
181,60,67
182,22,27
183,44,49
184,70,83
185,15,15
186,4,3
187,5,6
188,3,0
189,43,37
190,18,20
191,3,3
192,5,1
193,48,52
194,0,0
195,11,7
196,9,7
197,47,52
198,2,3
199,48,80
200,22,27
201,0,1
202,13,17
203,7,7
204,54,55
205,0,0
206,39,46
207,50,51
208,26,27
209,2,3
210,18,18
211,6,0
212,44,41
213,5,7
214,76,85
215,6,7
216,45,52
217,17,26
218,12,13
219,28,15
220,29,31
221,45,71
222,8,8
223,93,85
224,11,13
225,5,0
226,10,17
227,43,34
228,31,29
229,14,20
230,26,26
231,41,45
232,37,43
233,7,6
234,5,8
235,63,63
236,23,24
237,32,55
238,4,0
239,22,29
240,43,38
241,46,58
242,46,49
243,10,10
244,22,24
245,52,54
246,85,90
247,42,55
248,23,29
249,8,5
250,19,29
251,49,48
252,18,20
253,0,3
254,18,26
255,61,62
256,31,34
257,10,10
258,7,1
259,31,29
260,4,0
261,44,51
262,59,68
263,56,55
264,26,29
265,64,75
266,45,38
267,71,87
268,28,37
269,27,26
270,33,34
271,3,1
272,4,1
273,5,1
274,48,46
275,1,0
276,19,29
277,30,26
278,54,55
279,62,85
280,45,85
281,10,6
282,0,0
283,21,23
