,predict,actual
0,2,3
1,2,0
2,27,27
3,70,73
4,2,0
5,23,24
6,51,49
7,2,0
8,24,15
9,12,7
10,3,0
11,97,83
12,17,20
13,3,0
14,16,24
15,3,1
16,5,6
17,77,90
18,47,58
19,20,20
20,15,15
21,3,3
22,31,27
23,5,20
24,33,31
25,60,64
26,3,3
27,55,76
28,57,62
29,3,3
30,6,8
31,9,13
32,32,35
33,7,27
34,32,31
35,3,0
36,22,14
37,3,6
38,5,0
39,70,75
40,49,46
41,6,3
42,78,86
43,14,21
44,26,26
45,5,8
46,10,10
47,66,69
48,17,17
49,28,29
50,31,29
51,3,0
52,54,63
53,3,0
54,30,29
55,40,38
56,14,10
57,9,18
58,55,63
59,3,1
60,6,1
61,30,20
62,2,0
63,3,8
64,13,7
65,30,76
66,4,7
67,18,21
68,28,20
69,2,0
70,36,27
71,7,7
72,60,58
73,43,51
74,59,67
75,14,12
76,32,31
77,9,17
78,24,15
79,3,1
80,62,68
81,52,54
82,49,46
83,8,10
84,55,65
85,26,37
86,23,20
87,44,40
88,21,29
89,30,55
90,2,1
91,2,3
92,71,71
93,44,40
94,73,85
95,54,64
96,31,17
97,32,51
98,25,27
99,56,58
100,5,3
101,29,37
102,21,17
103,4,0
104,43,43
105,36,31
106,3,6
107,54,67
108,10,8
109,3,3
110,3,3
111,22,18
112,9,14
113,54,71
114,3,6
115,43,64
116,4,1
117,3,0
118,19,26
119,3,0
120,7,10
121,2,0
122,4,0
123,3,0
124,6,13
125,4,8
126,3,5
127,63,68
128,46,49
129,3,0
130,42,46
131,16,26
132,21,29
133,62,57
134,59,81
135,3,6
136,30,27
137,48,45
138,2,0
139,24,32
140,4,7
141,67,85
142,49,45
143,51,54
144,83,77
145,58,67
146,49,55
147,12,13
148,78,90
149,25,34
150,14,14
151,15,17
152,6,3
153,3,0
154,26,29
155,3,0
156,62,61
157,3,0
158,56,71
159,20,13
160,40,31
161,3,0
162,50,58
163,51,69
164,29,31
165,46,49
166,52,54
167,3,1
168,38,43
169,45,67
170,28,59
171,3,5
172,93,85
173,25,27
174,2,1
175,24,24
176,2,1
177,48,46
178,3,6
179,46,58
180,21,23
181,3,6
182,2,0
183,24,27
184,28,34
185,30,34
186,24,21
187,36,32
188,23,17
189,63,85
190,62,63
191,2,5
192,93,85
