,predict,actual
0,27,27
1,9,10
2,17,17
3,26,24
4,24,27
5,2,0
6,21,24
7,32,17
8,2,0
9,49,58
10,3,5
11,2,0
12,22,20
13,48,46
14,55,46
15,69,71
16,3,3
17,57,85
18,55,52
19,37,40
20,6,3
21,3,5
22,23,26
23,21,24
24,10,10
25,3,0
26,6,7
27,3,1
28,9,7
29,3,3
30,54,54
31,68,64
32,79,86
33,3,0
34,55,86
35,2,0
36,48,54
37,2,3
38,2,0
39,2,0
40,41,35
41,61,63
42,37,43
43,3,7
44,18,15
45,54,85
46,39,41
47,30,31
48,4,6
49,38,38
50,23,29
51,29,29
52,2,0
53,50,80
54,76,80
55,3,14
56,30,63
57,57,52
58,33,29
59,61,74
60,49,81
61,22,13
62,41,45
63,37,29
64,14,18
65,50,55
66,67,70
67,56,55
68,32,23
69,17,17
70,57,52
71,3,3
72,67,69
73,5,7
74,32,67
75,5,6
76,33,26
77,45,34
78,33,32
79,21,24
80,3,3
81,30,45
82,29,31
83,2,0
84,31,29
85,3,1
86,3,1
87,3,3
88,26,75
89,15,29
90,20,20
91,37,27
92,65,68
93,46,43
94,36,29
95,18,21
96,19,17
97,16,14
98,21,21
99,43,37
100,37,37
101,20,20
102,2,10
103,38,29
104,32,31
105,13,15
106,3,3
107,17,23
108,70,69
109,65,73
110,22,20
111,56,98
112,30,34
113,3,3
114,2,0
115,18,17
116,50,31
117,2,0
118,3,7
119,21,23
120,25,24
121,40,73
122,2,0
123,49,52
124,51,58
125,5,8
126,54,55
127,3,0
128,55,54
129,2,0
130,46,51
131,75,90
132,2,1
133,51,88
134,4,20
135,41,49
136,59,58
137,9,17
138,15,18
139,63,75
140,42,52
141,2,8
142,22,24
143,6,8
144,31,26
145,4,1
146,35,38
147,3,0
148,6,7
149,2,5
150,3,1
151,2,1
152,21,26
153,46,55
154,53,62
155,15,7
156,41,35
157,29,29
158,3,1
159,83,90
160,41,20
161,47,49
162,20,24
163,2,1
164,2,0
165,19,15
166,3,6
167,3,3
168,51,54
169,28,24
170,3,3
171,62,90
172,76,85
173,19,17
174,53,52
175,27,27
176,28,20
177,29,20
178,48,46
179,3,0
180,32,29
181,32,26
182,71,80
183,59,67
184,35,32
185,31,37
186,44,40
187,19,23
188,2,0
189,45,55
190,2,3
191,55,55
192,64,73
193,65,74
194,73,87
195,50,45
196,26,21
197,55,64
198,46,49
199,30,31
200,3,1
201,51,52
202,48,52
203,24,27
204,13,17
205,27,27
206,2,1
207,80,88
208,17,13
209,21,20
210,29,27
211,36,34
212,20,24
213,2,6
214,7,13
215,41,38
216,24,20
217,3,3
218,2,0
219,2,0
220,38,49
221,26,26
222,2,0
223,9,5
224,4,3
225,26,26
226,4,7
227,5,5
228,63,81
229,59,52
230,2,0
231,2,1
232,57,52
233,2,0
234,54,57
235,32,20
236,61,75
237,6,6
238,39,49
239,2,0
240,3,5
241,9,3
242,48,34
243,72,76
244,2,0
245,3,5
246,18,15
247,28,21
248,23,20
249,54,68
250,70,81
251,6,10
252,9,3
253,55,52
254,49,45
255,25,24
256,40,54
257,59,59
258,63,81
259,41,49
260,91,85
261,23,17
262,82,94
263,3,6
264,2,3
265,38,51
266,41,46
267,31,26
268,13,17
269,69,55
270,63,63
271,33,35
272,8,10
273,11,13
274,3,7
275,2,0
276,52,85
277,2,1
278,28,13
279,2,0
280,15,17
281,55,51
282,56,64
283,2,1
284,3,1
285,37,27
286,43,49
287,31,26
288,2,1
289,39,34
290,51,52
291,43,55
292,50,55
293,41,31
294,57,80
295,17,1
296,10,10
297,14,15
298,70,61
299,21,24
300,2,1
301,45,41
302,3,0
303,67,59
304,17,24
305,26,27
306,17,15
307,11,54
308,6,0
309,61,61
310,3,3
311,57,57
312,15,20
313,15,12
314,2,0
315,2,0
