,predict,actual
0,42,38
1,1,1
2,16,20
3,31,26
4,11,10
5,55,52
6,18,20
7,58,59
8,15,1
9,49,48
10,56,64
11,25,21
12,29,24
13,19,7
14,11,1
15,31,26
16,40,45
17,26,26
18,20,20
19,31,29
20,50,49
21,81,81
22,40,40
23,34,27
24,31,29
25,31,31
26,32,29
27,67,61
28,18,17
29,28,24
30,59,59
31,43,45
32,26,24
33,29,31
34,1,3
35,9,7
36,63,69
37,5,0
38,36,38
39,24,26
40,61,69
41,50,49
42,37,34
43,50,75
44,44,46
45,27,29
46,55,51
47,25,26
48,21,23
49,27,26
50,74,85
51,29,27
52,38,37
53,28,29
54,31,26
55,21,20
56,65,71
57,26,24
58,27,27
59,23,20
60,14,15
61,15,6
62,40,40
63,55,69
64,8,0
65,28,26
66,50,45
67,54,61
68,33,34
69,28,24
70,38,37
71,36,35
72,12,7
73,42,46
74,21,32
75,55,59
76,52,55
77,6,0
78,67,75
79,28,26
80,32,31
81,3,0
82,27,29
83,32,26
84,18,24
85,30,27
86,30,27
87,27,26
88,68,74
89,49,45
90,35,35
91,59,63
92,27,29
93,36,31
94,48,45
95,44,43
96,8,5
97,23,23
98,25,24
99,22,20
100,4,1
101,34,32
102,3,1
103,19,18
104,56,61
105,42,40
106,1,0
107,21,20
108,35,27
109,30,29
110,32,27
111,73,85
112,39,38
113,27,24
114,15,12
115,57,58
116,57,48
117,49,52
118,69,88
119,32,27
120,54,69
121,12,13
122,30,32
123,26,24
124,29,26
125,38,40
126,40,34
127,41,40
128,28,27
129,63,65
130,88,86
131,26,24
132,53,52
133,26,27
134,28,27
135,62,64
136,65,90
137,51,55
138,33,26
139,25,13
140,25,26
141,24,24
142,0,0
143,23,23
144,6,3
145,54,55
146,32,34
147,58,68
148,24,26
149,53,54
150,47,59
151,41,27
152,18,23
153,32,31
154,4,0
155,54,54
156,39,37
157,15,26
158,27,26
159,51,49
160,57,57
161,73,75
162,48,52
163,41,45
164,35,34
165,33,31
166,34,35
167,11,5
168,7,13
169,45,41
170,64,90
171,65,90
172,49,43
173,54,46
174,41,40
175,25,24
176,30,27
177,53,52
178,21,24
179,23,23
180,47,45
181,25,26
182,50,52
183,40,59
184,18,14
185,45,37
186,26,26
187,36,34
188,48,45
189,82,90
190,29,26
191,28,34
192,18,24
193,18,24
194,32,34
195,4,1
196,50,48
197,26,26
198,35,38
199,53,54
200,20,29
201,22,20
202,24,26
203,12,13
204,56,58
205,32,27
206,25,27
207,34,34
208,44,40
209,46,45
210,31,29
211,35,34
212,6,0
213,52,54
214,40,46
215,32,29
216,60,59
217,23,23
218,25,20
219,43,43
220,19,21
221,27,26
222,23,20
223,0,0
224,36,37
225,37,40
226,30,29
227,2,0
228,21,14
229,11,0
230,0,0
231,51,49
232,6,10
233,30,27
234,66,69
235,27,24
236,35,43
237,16,15
238,29,27
239,14,6
240,36,34
241,26,26
242,0,0
243,25,26
244,12,6
245,27,27
246,46,43
247,0,0
248,27,27
249,6,1
250,10,5
251,14,1
252,47,45
253,33,31
254,69,110
255,32,31
256,40,41
257,66,58
258,27,29
259,51,59
260,25,17
261,31,29
262,92,99
263,46,49
264,29,27
265,0,0
266,58,61
267,34,34
268,46,45
269,33,31
270,31,26
271,27,26
272,34,37
273,27,29
274,24,27
275,29,31
276,16,13
277,50,61
278,4,0
279,26,26
280,24,21
281,23,24
282,36,40
283,26,29
284,26,27
285,26,27
286,34,24
287,46,49
288,67,80
289,14,5
290,38,35
291,38,37
292,3,0
293,4,3
294,24,27
295,35,34
296,10,0
297,30,26
298,36,34
299,69,63
300,24,27
301,12,1
302,20,23
303,30,26
304,17,17
305,41,43
306,79,80
307,57,64
308,19,14
309,23,24
310,29,29
311,27,29
312,23,24
313,15,6
314,48,49
315,60,64
316,57,58
317,27,26
318,0,0
319,73,73
320,37,37
321,28,26
322,52,55
323,31,31
324,31,24
325,46,51
326,14,7
327,4,0
328,43,40
329,56,65
330,63,75
331,59,65
332,65,75
333,59,64
334,21,17
335,43,45
336,32,27
337,22,21
338,39,38
339,53,55
340,41,52
341,6,1
342,0,0
343,30,29
344,12,0
345,47,54
346,51,54
347,13,13
348,34,29
349,8,12
350,25,26
351,20,23
352,25,24
353,0,0
354,0,3
355,23,21
356,26,29
357,9,5
358,52,55
359,72,80
360,24,24
361,49,57
362,65,69
363,23,24
364,29,29
365,44,40
366,69,75
367,54,54
368,31,34
369,7,8
370,9,8
371,7,0
372,27,27
373,69,73
374,40,45
375,26,26
376,34,29
377,25,24
378,38,35
379,44,54
380,44,37
381,45,38
382,30,31
383,52,63
384,33,35
385,23,23
386,24,23
387,58,63
388,54,62
389,24,27
390,0,3
391,22,31
392,13,7
393,30,34
394,24,26
395,37,35
396,4,1
397,40,45
398,53,54
399,53,71
400,43,43
401,24,24
402,0,1
403,28,31
404,31,29
405,25,24
406,25,24
407,22,23
408,39,37
409,6,0
410,34,31
411,63,75
412,16,17
413,47,55
414,34,37
415,50,49
416,8,0
417,33,31
418,48,63
419,30,29
420,29,24
421,28,27
422,35,34
423,39,38
424,37,37
425,5,0
426,33,34
427,8,1
428,57,68
429,57,58
430,41,38
431,10,5
432,52,48
433,31,31
434,19,18
435,24,26
436,27,27
437,29,24
438,56,58
439,25,24
440,33,31
441,17,15
442,18,3
443,32,31
444,55,58
445,22,23
446,25,24
447,22,23
448,50,55
449,71,69
450,26,26
451,43,40
452,66,74
453,27,34
454,42,34
455,30,26
456,23,17
457,24,21
458,35,27
459,48,52
460,32,31
461,9,0
462,21,17
463,20,15
464,48,52
465,22,6
466,25,24
467,58,54
468,36,34
469,25,26
470,26,26
471,8,0
472,27,27
473,34,34
474,23,20
475,50,43
476,80,71
477,28,27
478,44,45
479,30,27
480,28,26
481,35,34
482,31,31
483,27,26
484,28,24
485,54,54
486,25,24
487,51,52
488,17,6
489,67,75
490,24,24
491,25,27
492,7,1
493,78,99
494,25,26
495,28,24
496,66,71
497,19,17
498,29,31
499,35,34
500,24,1
501,28,24
502,51,49
503,30,26
504,33,34
505,32,29
506,26,26
507,1,3
508,40,40
509,40,34
510,27,27
511,35,27
512,36,32
513,26,27
514,51,49
515,30,26
516,28,29
517,26,27
518,14,7
519,35,34
520,25,24
521,22,20
522,55,58
523,9,1
524,19,18
525,29,26
526,43,43
527,26,26
528,30,26
529,70,81
530,16,13
531,84,94
532,40,34
533,35,34
534,19,14
535,13,7
536,10,3
537,15,13
538,34,29
539,62,61
540,59,54
541,60,57
542,38,34
543,14,13
544,30,27
545,43,40
546,33,29
547,45,46
548,28,26
549,22,24
550,26,26
551,50,58
552,21,20
553,43,37
554,69,75
555,82,92
556,6,1
557,46,48
558,24,26
559,9,6
560,11,10
561,7,6
562,30,24
563,39,40
564,31,26
565,49,49
566,43,37
567,62,64
568,30,29
569,25,27
570,79,85
571,16,15
572,67,85
573,15,7
574,37,34
575,29,29
576,18,37
577,51,54
578,28,29
579,73,85
580,27,26
581,52,51
582,22,20
583,37,40
584,26,24
585,15,14
586,74,85
587,25,27
588,49,49
589,54,49
590,66,75
591,35,34
592,45,45
593,56,49
594,40,41
595,27,26
596,26,26
597,33,34
598,29,26
599,46,48
600,67,80
601,25,24
602,33,38
603,67,71
604,29,27
605,44,41
606,9,1
607,61,59
608,67,75
609,28,29
610,34,40
611,39,37
612,59,75
613,16,6
614,11,0
615,30,26
616,68,79
617,10,1
618,31,31
619,24,24
620,33,34
621,49,52
622,35,34
623,17,10
624,34,34
625,62,85
626,14,10
627,35,34
628,6,1
629,9,0
630,36,34
631,14,7
632,31,29
633,43,57
634,5,0
635,32,29
636,33,34
637,41,45
638,53,58
639,26,26
640,22,34
641,25,26
642,44,40
643,0,0
644,70,75
645,50,49
646,43,34
647,0,3
648,45,45
649,20,17
650,23,21
651,42,40
652,36,35
653,10,1
654,35,40
655,27,23
656,32,31
657,35,29
658,22,29
659,52,52
660,2,1
661,13,0
662,2,1
663,61,67
664,26,27
665,0,6
666,27,27
667,37,40
668,49,49
669,21,21
670,5,5
671,65,63
672,37,37
673,29,26
674,28,27
675,6,0
676,28,27
677,37,40
678,20,13
679,45,46
680,26,24
681,2,0
682,34,34
683,32,37
684,26,17
685,5,3
686,0,0
687,55,54
688,25,26
689,34,34
690,1,3
691,47,51
692,23,20
693,44,41
694,25,26
695,26,26
696,54,59
697,22,24
698,43,49
699,50,55
700,56,49
701,11,7
702,53,64
703,37,34
704,33,27
705,48,43
706,23,26
707,26,26
708,62,65
709,38,37
710,1,0
