,predict,actual
0,29,10
1,29,24
2,29,54
3,29,26
4,29,0
5,29,12
6,29,37
7,29,38
8,29,85
9,29,24
10,29,34
11,29,29
12,29,34
13,29,0
14,29,24
15,29,31
16,29,0
17,29,21
18,29,35
19,29,13
20,29,26
21,29,27
22,29,31
23,29,15
24,29,26
25,29,24
26,29,20
27,29,12
28,29,24
29,29,27
30,29,14
31,29,0
32,29,54
33,29,26
34,29,37
35,29,31
36,29,26
37,29,32
38,29,26
39,29,65
40,29,29
41,29,90
42,29,24
43,29,1
44,29,43
45,29,34
46,29,24
47,29,27
48,29,23
49,29,24
50,29,21
51,29,54
52,29,75
53,29,55
54,29,37
55,29,20
56,29,54
57,29,27
58,29,64
59,29,1
60,29,62
61,29,34
62,29,26
63,29,31
64,29,0
65,29,26
66,29,52
67,29,24
68,29,52
69,29,20
70,29,46
71,29,31
72,29,49
73,29,27
74,29,12
75,29,64
76,29,17
77,29,26
78,29,7
79,29,29
80,29,57
81,29,59
82,29,1
83,29,46
84,29,24
85,29,29
86,29,43
87,29,100
88,29,23
89,29,23
90,29,29
91,29,41
92,29,69
93,29,24
94,29,17
95,29,26
96,29,26
97,29,52
98,29,29
99,29,3
100,29,20
101,29,37
102,29,13
103,29,3
104,29,29
105,29,29
106,29,15
107,29,85
108,29,26
109,29,24
110,29,0
111,29,55
112,29,49
113,29,54
114,29,21
115,29,3
116,29,64
117,29,75
118,29,20
119,29,37
120,29,21
121,29,29
122,29,31
123,29,24
124,29,40
125,29,52
126,29,31
127,29,27
128,29,34
129,29,27
130,29,26
131,29,59
132,29,1
133,29,31
134,29,49
135,29,68
136,29,34
137,29,49
138,29,20
139,29,27
140,29,23
141,29,40
142,29,63
143,29,3
144,29,20
145,29,20
146,29,51
147,29,23
148,29,52
149,29,21
150,29,43
151,29,27
152,29,45
153,29,1
154,29,37
155,29,8
156,29,37
157,29,41
158,29,61
159,29,26
160,29,64
161,29,13
162,29,24
163,29,29
164,29,49
165,29,52
166,29,24
167,29,40
168,29,29
169,29,0
170,29,23
171,29,31
172,29,59
173,29,7
174,29,52
175,29,46
176,29,54
177,29,6
178,29,24
179,29,80
180,29,27
181,29,40
182,29,41
183,29,27
184,29,69
185,29,23
186,29,29
187,29,3
188,29,49
189,29,24
190,29,10
191,29,24
192,29,27
193,29,29
194,29,37
195,29,15
196,29,14
197,29,34
198,29,29
199,29,46
200,29,0
201,29,24
202,29,8
203,29,20
204,29,27
205,29,8
206,29,58
207,29,58
208,29,26
209,29,54
210,29,40
211,29,21
212,29,34
213,29,0
214,29,65
215,29,37
216,29,27
217,29,37
218,29,41
219,29,34
220,29,37
221,29,40
222,29,58
223,29,76
224,29,27
225,29,24
226,29,26
227,29,26
228,29,40
229,29,67
230,29,3
231,29,26
232,29,27
233,29,17
234,29,81
235,29,0
236,29,34
237,29,52
238,29,34
239,29,26
240,29,27
241,29,35
242,29,45
243,29,27
244,29,10
245,29,13
246,29,35
247,29,34
248,29,37
249,29,0
250,29,29
251,29,27
252,29,29
253,29,52
254,29,63
255,29,40
256,29,24
257,29,48
258,29,27
259,29,20
260,29,52
261,29,24
262,29,14
263,29,26
264,29,26
265,29,54
266,29,24
267,29,23
268,29,68
269,29,75
270,29,31
271,29,0
272,29,59
273,29,20
274,29,52
275,29,5
276,29,26
277,29,59
278,29,80
279,29,20
280,29,0
281,29,29
282,29,8
283,29,38
284,29,26
285,29,3
286,29,55
287,29,59
288,29,24
289,29,52
290,29,29
