,predict,actual
0,33,34
1,31,29
2,19,3
3,79,90
4,42,46
5,28,24
6,57,55
7,35,34
8,58,75
9,32,27
10,19,3
11,22,0
12,85,85
13,32,32
14,19,8
15,27,24
16,21,24
17,22,24
18,45,48
19,28,26
20,19,6
21,19,0
22,25,27
23,30,6
24,19,17
25,33,64
26,28,26
27,26,37
28,24,27
29,34,31
30,31,31
31,55,64
32,54,67
33,30,29
34,54,49
35,20,20
36,19,24
37,22,31
38,23,24
39,52,52
40,26,6
41,51,64
42,72,90
43,31,45
44,41,43
45,38,38
46,19,0
47,36,31
48,24,24
49,37,34
50,38,45
51,28,26
52,44,43
53,36,31
54,49,46
55,56,67
56,67,68
57,43,46
58,35,26
59,19,13
60,53,48
61,30,26
62,20,6
63,42,40
64,23,23
65,52,54
66,39,41
67,21,37
68,23,26
69,21,26
70,54,52
71,41,40
72,49,45
73,22,24
74,32,31
75,26,26
76,24,15
77,20,3
78,23,23
79,63,65
80,46,48
81,28,26
82,28,26
83,78,63
84,52,49
85,58,59
86,35,34
87,47,3
88,56,49
89,26,23
90,23,24
91,33,29
92,42,27
93,43,34
94,28,29
95,30,29
96,48,58
97,33,29
98,23,24
99,21,29
100,36,35
101,24,24
102,25,31
103,23,24
104,40,34
105,48,49
106,29,13
107,27,34
108,19,13
109,21,24
110,37,34
111,48,43
112,31,27
113,26,27
114,20,17
115,75,82
116,25,0
117,57,69
118,26,24
119,21,17
120,57,54
121,30,37
122,39,34
123,27,31
124,39,58
125,22,17
126,42,40
127,33,34
128,32,34
129,25,27
130,19,15
131,35,31
132,29,29
133,28,26
134,26,15
135,45,35
136,26,24
137,41,46
138,64,55
139,30,29
140,18,3
141,52,49
142,29,26
143,23,0
144,28,26
145,44,63
146,32,7
147,30,26
148,64,69
149,41,0
150,49,52
151,67,73
152,34,31
153,25,0
154,20,17
155,19,0
156,28,29
157,26,27
158,40,37
159,70,73
160,44,64
161,27,40
162,26,26
163,18,1
164,20,7
165,18,1
166,33,31
167,36,29
168,31,29
169,35,34
170,59,64
171,29,29
172,37,40
173,26,26
174,27,0
175,25,29
176,21,21
177,38,34
178,33,34
179,30,26
180,34,38
181,30,29
182,34,34
183,47,49
184,44,35
185,52,52
186,42,40
187,47,52
188,74,86
189,26,27
190,39,34
191,25,6
192,50,49
193,55,54
194,24,26
195,30,24
196,43,41
197,21,14
198,54,49
199,23,6
200,20,6
201,69,110
202,28,21
203,37,29
204,28,27
205,46,54
206,23,20
207,24,26
208,37,34
209,25,21
210,28,29
211,48,54
212,32,29
213,38,40
214,29,24
215,19,3
216,22,20
217,38,32
218,44,41
219,40,75
220,70,71
221,19,1
222,25,0
223,25,20
224,37,34
225,53,52
226,64,67
227,44,37
228,69,71
229,24,26
230,22,5
231,43,43
232,75,85
233,30,23
234,45,31
235,29,27
236,23,24
237,23,10
238,21,23
239,37,31
240,30,24
241,57,54
242,39,27
243,69,80
244,23,23
245,35,29
246,23,26
247,42,46
248,31,34
249,32,26
250,31,31
251,39,31
252,37,38
253,19,26
254,79,62
255,27,24
256,37,34
257,66,76
258,35,29
259,21,0
260,36,20
261,33,27
262,59,59
263,22,37
264,26,24
265,18,12
266,33,8
267,54,51
268,32,26
269,19,7
270,54,55
271,26,24
272,27,24
273,26,8
274,53,43
275,44,40
276,26,17
277,37,31
278,46,41
279,21,5
280,47,24
281,37,26
282,74,86
283,28,26
284,38,34
285,27,26
286,19,0
287,38,26
288,20,24
289,27,21
290,26,24
291,27,43
292,60,63
293,60,58
294,24,23
295,26,17
296,30,34
297,35,29
298,19,8
299,33,31
300,22,24
301,37,34
302,31,29
303,69,69
304,56,52
305,23,24
306,51,55
307,31,27
308,31,29
309,19,3
310,39,35
311,25,26
312,35,32
313,21,26
314,23,27
315,24,29
316,35,27
