,predict,actual
0,22,24
1,38,34
2,31,31
3,23,26
4,43,45
5,21,3
6,15,13
7,16,14
8,31,31
9,16,0
10,57,59
11,26,24
12,20,18
13,24,27
14,22,26
15,17,3
16,53,54
17,30,26
18,47,61
19,28,40
20,50,58
21,22,27
22,49,45
23,31,34
24,31,29
25,22,27
26,30,38
27,16,3
28,15,17
29,17,12
30,37,31
31,25,21
32,20,23
33,34,55
34,53,64
35,27,31
36,52,54
37,60,70
38,23,27
39,23,26
40,29,24
41,28,35
42,33,41
43,25,13
44,20,27
45,19,13
46,24,24
47,25,24
48,33,34
49,17,34
50,15,13
51,15,0
52,33,34
53,17,20
54,17,0
55,44,40
56,28,26
57,16,24
58,39,34
59,21,34
60,33,31
61,26,27
62,26,27
63,24,26
64,52,52
65,28,27
66,39,41
67,41,37
68,36,37
69,22,26
70,28,29
71,34,34
72,50,52
73,23,27
74,29,29
75,16,0
76,16,1
77,60,85
78,58,68
79,38,37
80,15,6
81,27,27
82,45,58
83,34,45
84,27,27
85,27,26
86,46,37
87,21,26
88,24,26
89,48,63
90,19,24
91,15,0
92,36,31
93,38,43
94,24,27
95,16,7
96,58,69
97,54,67
98,32,52
99,16,21
100,16,10
101,46,58
102,17,24
103,20,23
104,31,54
105,51,54
106,40,49
107,27,26
108,20,20
109,46,55
110,17,20
111,47,51
112,44,40
113,18,27
114,17,1
115,22,27
116,16,12
117,30,34
118,32,31
119,15,17
120,22,34
121,27,21
122,38,40
123,16,27
124,19,24
125,42,41
126,34,27
127,15,0
128,23,13
129,30,26
130,28,34
131,16,0
132,49,81
133,15,5
134,27,29
135,16,14
136,52,49
137,19,13
138,21,26
139,42,41
140,79,90
141,77,75
142,15,0
143,26,34
144,24,27
145,43,59
146,25,26
147,28,54
148,21,21
149,15,0
150,16,10
151,22,29
152,25,27
153,28,29
154,18,8
155,21,23
156,27,54
157,50,49
158,22,26
159,25,26
160,17,0
161,82,85
162,17,10
163,24,31
164,51,52
165,16,7
166,21,26
167,52,52
168,25,29
169,33,35
170,24,26
171,16,17
172,43,41
173,28,24
174,51,43
175,32,59
176,50,52
177,85,85
178,26,26
179,27,29
180,27,27
181,47,69
182,16,5
183,50,76
184,57,59
185,42,45
186,17,3
187,52,59
188,17,17
189,31,29
190,54,55
191,15,0
192,23,20
193,15,6
194,23,26
195,34,43
196,32,34
197,43,49
