,predict,actual
0,26,37
1,30,38
2,29,40
3,25,27
4,28,20
5,22,26
6,27,29
7,0,0
8,46,54
9,0,1
10,0,1
11,38,35
12,34,40
13,29,37
14,30,31
15,30,29
16,48,73
17,36,32
18,24,27
19,27,26
20,29,41
21,3,10
22,46,40
23,29,26
24,18,10
25,25,27
26,29,34
27,28,29
28,57,59
29,55,90
30,26,26
31,54,58
32,33,34
33,4,3
34,57,85
35,32,38
36,23,31
37,26,18
38,25,24
39,39,37
40,46,63
41,27,26
42,15,13
43,53,69
44,28,34
45,25,58
46,27,26
47,0,1
48,22,23
49,40,62
50,5,13
51,40,37
52,0,0
53,51,69
54,28,26
55,19,14
56,5,1
57,28,31
58,48,51
59,54,58
60,41,43
61,57,58
62,29,26
63,30,26
64,23,24
65,1,7
66,29,34
67,25,27
68,27,27
69,20,20
70,27,29
71,22,20
72,44,48
73,57,55
74,54,55
75,50,49
76,31,40
77,29,34
78,22,26
79,29,27
80,44,49
81,0,1
82,12,15
83,26,24
84,0,3
85,50,55
86,29,31
87,30,34
88,19,21
89,36,37
90,23,24
91,30,29
92,14,18
93,0,0
94,21,26
95,0,7
96,28,31
97,22,24
98,38,57
99,22,20
100,56,55
101,38,48
102,43,59
103,0,0
104,0,0
105,29,38
106,21,20
107,46,49
108,41,52
109,55,49
110,27,27
111,21,24
112,31,34
113,23,29
114,55,62
115,28,29
116,23,29
117,28,34
118,25,27
119,27,27
120,57,63
121,24,24
122,42,45
123,24,24
124,0,6
125,39,52
126,24,26
127,57,59
128,56,49
129,53,75
130,24,27
131,40,49
132,41,24
133,27,26
134,27,24
135,19,15
136,25,24
137,28,34
138,29,34
139,57,55
140,18,26
141,55,69
142,22,27
143,27,26
144,24,24
145,39,45
146,28,31
147,48,71
148,29,7
149,40,41
150,31,37
151,30,45
152,5,1
153,0,1
154,43,51
155,30,35
156,23,24
157,53,58
158,23,24
159,12,14
160,28,40
161,26,24
162,38,37
163,50,61
164,28,32
165,23,24
166,25,29
167,24,20
168,34,34
169,40,40
170,31,34
171,21,14
172,32,29
173,0,0
174,33,29
175,28,26
176,21,23
177,53,71
178,38,45
179,29,45
180,55,80
181,36,43
182,57,55
183,29,34
184,46,40
185,29,27
186,48,49
187,40,46
188,23,27
189,56,69
190,29,31
191,25,26
192,31,31
193,28,27
194,30,40
195,22,23
196,29,34
197,21,21
198,25,26
199,26,24
200,53,69
201,28,37
202,22,20
203,0,0
204,53,55
205,47,49
206,53,55
207,24,27
208,57,75
209,55,67
210,57,90
211,31,45
212,28,26
213,52,52
214,22,24
215,27,29
216,51,87
217,49,90
218,23,26
219,26,29
220,39,38
221,54,75
222,28,26
223,35,41
224,29,34
225,24,6
226,57,57
227,24,27
228,24,24
229,41,27
230,29,31
231,35,40
232,28,31
233,48,57
234,54,55
235,20,24
236,19,20
237,45,51
238,45,45
239,0,7
240,26,21
241,29,31
242,30,26
243,26,34
244,26,26
245,49,55
246,28,27
247,26,15
248,57,64
249,23,24
250,11,17
251,8,7
252,34,51
253,20,20
254,30,27
255,0,0
256,36,37
257,26,24
258,24,26
259,1,1
260,28,37
261,25,20
262,29,26
263,30,31
264,21,17
265,4,6
266,4,5
267,28,26
268,23,24
269,2,3
270,0,3
271,37,41
272,27,26
273,47,49
274,35,40
275,0,5
276,49,58
277,21,7
278,57,58
279,0,0
280,22,26
281,23,24
282,35,37
283,8,13
284,28,29
285,54,64
286,29,31
287,27,20
288,30,37
289,50,55
290,23,20
291,55,59
292,23,23
293,0,0
294,28,29
295,57,85
296,12,3
297,27,29
298,26,27
299,29,40
300,27,26
301,26,24
302,39,29
303,32,32
304,26,23
305,0,0
306,20,26
307,29,27
308,53,75
309,42,68
310,0,1
311,0,0
312,28,34
313,31,34
314,25,23
315,25,27
316,36,34
317,37,46
318,0,0
319,20,17
320,34,38
321,56,52
322,38,27
323,52,58
324,25,34
325,23,7
326,26,27
327,57,55
328,46,49
329,56,68
330,7,7
331,57,69
332,0,0
333,57,73
334,0,3
335,25,35
336,26,29
337,8,10
338,30,31
339,22,26
340,26,20
341,48,54
342,30,31
343,56,75
344,29,35
345,43,48
346,28,27
347,15,20
348,25,24
349,22,20
350,30,34
351,54,64
352,30,26
353,20,29
354,23,26
355,26,26
356,22,17
357,57,58
358,31,27
359,30,29
360,53,75
361,0,1
362,47,48
363,24,21
364,29,29
365,23,23
366,24,24
367,55,58
368,23,24
369,42,49
370,0,5
371,23,24
372,55,67
373,54,55
374,25,26
375,0,8
376,39,35
377,0,1
378,30,34
379,52,59
380,31,3
381,51,52
382,19,17
383,33,40
384,30,31
385,30,54
386,57,52
387,55,67
388,19,17
389,11,15
390,27,24
391,37,43
392,22,20
393,33,34
394,57,58
395,40,48
396,23,20
397,0,5
398,51,52
399,27,26
400,27,27
401,32,38
402,28,29
403,46,49
404,29,37
405,25,29
406,51,58
407,57,90
408,27,27
409,29,31
410,25,18
411,51,61
412,9,1
413,20,3
414,41,51
415,9,15
416,29,34
417,33,31
418,24,24
419,57,69
420,36,40
421,0,0
422,53,75
423,32,34
424,27,26
425,26,24
426,44,75
427,21,26
428,48,85
429,0,0
430,0,3
431,21,20
432,25,24
433,49,52
434,57,64
435,28,26
436,27,17
437,33,34
438,27,20
439,34,34
440,34,40
441,26,24
442,23,15
443,31,34
444,57,59
445,57,58
446,57,85
447,25,24
448,57,58
449,27,26
450,57,67
451,26,31
452,0,3
453,12,3
454,0,0
455,27,26
456,20,26
457,28,34
458,44,54
459,30,37
460,0,0
461,26,31
462,30,31
463,31,35
464,54,40
465,37,35
466,31,27
467,23,26
468,34,40
469,36,34
470,25,24
471,10,7
472,23,24
473,22,24
474,17,26
475,26,26
476,50,52
477,26,20
478,30,34
479,57,52
480,8,13
481,31,35
482,17,20
483,26,29
484,0,1
485,28,24
486,20,15
487,26,24
488,52,88
489,26,24
490,27,26
491,27,26
492,40,45
493,56,69
494,19,21
495,27,26
496,21,27
497,52,54
498,24,24
499,26,26
500,47,61
501,26,24
502,26,27
503,26,29
504,31,29
505,46,51
506,44,49
507,40,45
508,29,34
509,16,12
510,46,48
511,11,17
512,27,27
513,28,35
514,28,26
515,41,41
516,38,45
517,26,26
518,29,29
519,22,26
520,30,31
521,56,54
522,32,41
523,28,37
524,24,27
525,0,0
526,30,29
527,26,26
528,42,48
529,27,24
530,21,26
531,24,24
532,38,45
533,36,31
534,31,12
535,30,35
536,27,0
537,25,26
538,27,24
539,10,5
540,24,27
541,22,24
542,3,12
