,predict,actual
0,9,8
1,36,35
2,20,20
3,37,35
4,53,54
5,77,98
6,2,3
7,33,24
8,59,55
9,30,27
10,29,26
11,26,24
12,28,24
13,66,64
14,9,6
15,34,31
16,0,0
17,28,26
18,31,34
19,26,26
20,45,46
21,46,49
22,11,3
23,70,77
24,29,26
25,28,27
26,48,48
27,14,3
28,52,64
29,11,8
30,42,40
31,56,54
32,22,23
33,54,54
34,28,26
35,32,29
36,32,27
37,50,59
38,25,24
39,25,24
40,27,1
41,45,45
42,31,27
43,30,27
44,23,26
45,40,40
46,43,37
47,13,5
48,29,27
49,40,40
50,23,14
51,27,23
52,25,24
53,34,31
54,23,20
55,36,26
56,7,7
57,41,40
58,35,34
59,20,20
60,33,34
61,12,8
62,52,52
63,35,34
64,39,37
65,62,69
66,38,35
67,36,35
68,34,34
69,24,26
70,66,73
71,58,57
72,49,49
73,5,7
74,36,32
75,18,14
76,23,13
77,31,29
78,18,13
79,50,49
80,4,0
81,27,26
82,35,31
83,26,24
84,38,35
85,22,15
86,31,26
87,29,26
88,50,48
89,47,46
90,15,1
91,32,29
92,64,77
93,82,85
94,3,3
95,21,17
96,50,46
97,7,0
98,46,48
99,27,24
100,36,31
101,29,27
102,40,34
103,29,27
104,27,26
105,39,38
106,31,29
107,40,43
108,34,31
109,41,40
110,18,0
111,23,23
112,24,21
113,52,54
114,50,49
115,25,24
116,30,27
117,32,29
118,61,58
119,28,27
120,24,17
121,16,14
122,61,55
123,38,34
124,9,12
125,27,26
126,42,40
127,25,27
128,22,7
129,0,0
130,72,68
131,5,0
132,17,20
133,46,45
134,35,31
135,31,27
136,38,34
137,30,24
138,38,37
139,56,58
140,0,0
141,28,27
142,14,0
143,29,26
144,34,27
145,29,26
146,12,3
147,39,34
148,56,54
149,25,20
150,0,0
151,36,31
152,12,0
153,67,80
154,2,3
155,22,26
156,28,26
157,43,37
158,50,46
159,34,27
160,21,20
161,32,27
162,28,24
163,35,34
164,53,49
165,27,24
166,21,20
167,4,6
168,26,24
169,28,27
170,51,45
171,18,7
172,28,21
173,65,67
174,67,71
175,60,64
176,60,68
177,68,63
178,0,0
179,38,35
180,49,45
181,56,52
182,20,20
183,10,6
184,21,14
185,30,26
186,6,7
187,19,17
188,50,48
189,44,40
190,26,26
191,54,55
192,12,8
193,48,46
194,2,1
195,71,76
196,46,45
197,26,26
198,46,37
