predict,actual,score
9,8,0.8
36,35,0.8
20,20,1.0
37,35,0.6000000000000001
53,54,0.8
77,98,0.0
2,3,0.8
33,24,0.0
59,55,0.2
30,27,0.4
29,26,0.4
26,24,0.6000000000000001
28,24,0.2
66,64,0.6000000000000001
9,6,0.4
34,31,0.4
0,0,1.0
28,26,0.6000000000000001
31,34,0.4
26,26,1.0
45,46,0.8
46,49,0.4
11,3,0.0
70,77,0.0
29,26,0.4
28,27,0.8
48,48,1.0
14,3,0.0
52,64,0.0
11,8,0.4
42,40,0.6000000000000001
56,54,0.6000000000000001
22,23,0.8
54,54,1.0
28,26,0.6000000000000001
32,29,0.4
32,27,0.0
50,59,0.0
25,24,0.8
25,24,0.8
27,1,0.0
45,45,1.0
31,27,0.2
30,27,0.4
23,26,0.4
40,40,1.0
43,37,0.0
13,5,0.0
29,27,0.6000000000000001
40,40,1.0
23,14,0.0
27,23,0.2
25,24,0.8
34,31,0.4
23,20,0.4
36,26,0.0
7,7,1.0
41,40,0.8
35,34,0.8
20,20,1.0
33,34,0.8
12,8,0.2
52,52,1.0
35,34,0.8
39,37,0.6000000000000001
62,69,0.0
38,35,0.4
36,35,0.8
34,34,1.0
24,26,0.6000000000000001
66,73,0.0
58,57,0.8
49,49,1.0
5,7,0.6000000000000001
36,32,0.2
18,14,0.2
23,13,0.0
31,29,0.6000000000000001
18,13,0.0
50,49,0.8
4,0,0.2
27,26,0.8
35,31,0.2
26,24,0.6000000000000001
38,35,0.4
22,15,0.0
31,26,0.0
29,26,0.4
50,48,0.6000000000000001
47,46,0.8
15,1,0.0
32,29,0.4
64,77,0.0
82,85,0.4
3,3,1.0
21,17,0.2
50,46,0.2
7,0,0.0
46,48,0.6000000000000001
27,24,0.4
36,31,0.0
29,27,0.6000000000000001
40,34,0.0
29,27,0.6000000000000001
27,26,0.8
39,38,0.8
31,29,0.6000000000000001
40,43,0.4
34,31,0.4
41,40,0.8
18,0,0.0
23,23,1.0
24,21,0.4
52,54,0.6000000000000001
50,49,0.8
25,24,0.8
30,27,0.4
32,29,0.4
61,58,0.4
28,27,0.8
24,17,0.0
16,14,0.6000000000000001
61,55,0.0
38,34,0.2
9,12,0.4
27,26,0.8
42,40,0.6000000000000001
25,27,0.6000000000000001
22,7,0.0
0,0,1.0
