predict,actual,score
53,62,0.0
1,7,0.0
28,34,0.0
11,1,0.0
45,62,0.0
55,34,0.0
3,10,0.0
23,20,0.4
29,29,1.0
0,0,1.0
38,40,0.6000000000000001
29,40,0.0
0,1,0.8
21,21,1.0
51,49,0.6000000000000001
35,51,0.0
0,0,1.0
21,13,0.0
40,34,0.0
29,27,0.6000000000000001
0,5,0.0
41,35,0.0
48,27,0.0
29,27,0.6000000000000001
45,40,0.0
43,43,1.0
28,26,0.6000000000000001
0,3,0.4
25,24,0.8
24,23,0.8
0,0,1.0
29,29,1.0
35,37,0.6000000000000001
44,40,0.2
30,27,0.4
47,54,0.0
43,41,0.6000000000000001
30,31,0.8
57,38,0.0
29,31,0.6000000000000001
30,31,0.8
27,26,0.8
54,54,1.0
24,14,0.0
46,52,0.0
31,34,0.4
0,1,0.8
43,37,0.0
54,54,1.0
27,20,0.0
46,52,0.0
55,54,0.8
46,68,0.0
27,29,0.6000000000000001
49,55,0.0
57,81,0.0
0,3,0.4
45,82,0.0
49,49,1.0
30,34,0.2
24,27,0.4
29,34,0.0
56,67,0.0
47,49,0.6000000000000001
14,12,0.6000000000000001
0,0,1.0
26,34,0.0
29,29,1.0
28,27,0.8
18,17,0.8
34,31,0.4
29,35,0.0
38,27,0.0
19,17,0.6000000000000001
5,0,0.0
29,23,0.0
26,27,0.8
6,0,0.0
47,62,0.0
20,20,1.0
30,34,0.2
0,0,1.0
26,24,0.6000000000000001
55,85,0.0
39,38,0.8
27,26,0.8
33,26,0.0
43,43,1.0
31,29,0.6000000000000001
56,64,0.0
38,40,0.6000000000000001
0,0,1.0
37,26,0.0
22,17,0.0
37,40,0.4
18,14,0.2
55,68,0.0
56,62,0.0
41,57,0.0
28,24,0.2
51,59,0.0
0,0,1.0
40,34,0.0
0,0,1.0
45,34,0.0
56,70,0.0
36,34,0.6000000000000001
55,64,0.0
55,73,0.0
52,85,0.0
26,20,0.0
38,31,0.0
45,49,0.2
26,24,0.6000000000000001
55,29,0.0
29,24,0.0
19,17,0.6000000000000001
30,34,0.2
0,1,0.8
56,71,0.0
28,32,0.2
54,54,1.0
55,52,0.4
47,52,0.0
34,54,0.0
14,10,0.2
32,34,0.6000000000000001
29,31,0.6000000000000001
52,63,0.0
53,51,0.6000000000000001
0,0,1.0
32,31,0.8
26,27,0.8
35,35,1.0
31,26,0.0
48,80,0.0
26,24,0.6000000000000001
28,20,0.0
23,27,0.2
26,29,0.4
51,45,0.0
30,26,0.2
21,34,0.0
