predict,actual,score
29,10,0.0
29,24,0.0
29,54,0.0
29,26,0.4
29,0,0.0
29,12,0.0
29,37,0.0
29,38,0.0
29,85,0.0
29,24,0.0
29,34,0.0
29,29,1.0
29,34,0.0
29,0,0.0
29,24,0.0
29,31,0.6000000000000001
29,0,0.0
29,21,0.0
29,35,0.0
29,13,0.0
29,26,0.4
29,27,0.6000000000000001
29,31,0.6000000000000001
29,15,0.0
29,26,0.4
29,24,0.0
29,20,0.0
29,12,0.0
29,24,0.0
29,27,0.6000000000000001
29,14,0.0
29,0,0.0
29,54,0.0
29,26,0.4
29,37,0.0
29,31,0.6000000000000001
29,26,0.4
29,32,0.4
29,26,0.4
29,65,0.0
29,29,1.0
29,90,0.0
29,24,0.0
29,1,0.0
29,43,0.0
29,34,0.0
29,24,0.0
29,27,0.6000000000000001
29,23,0.0
29,24,0.0
29,21,0.0
29,54,0.0
29,75,0.0
29,55,0.0
29,37,0.0
29,20,0.0
29,54,0.0
29,27,0.6000000000000001
29,64,0.0
29,1,0.0
29,62,0.0
29,34,0.0
29,26,0.4
29,31,0.6000000000000001
29,0,0.0
29,26,0.4
29,52,0.0
29,24,0.0
29,52,0.0
29,20,0.0
29,46,0.0
29,31,0.6000000000000001
29,49,0.0
29,27,0.6000000000000001
29,12,0.0
29,64,0.0
29,17,0.0
29,26,0.4
29,7,0.0
29,29,1.0
29,57,0.0
29,59,0.0
29,1,0.0
29,46,0.0
29,24,0.0
29,29,1.0
29,43,0.0
29,100,0.0
29,23,0.0
29,23,0.0
29,29,1.0
29,41,0.0
29,69,0.0
29,24,0.0
29,17,0.0
29,26,0.4
29,26,0.4
29,52,0.0
29,29,1.0
29,3,0.0
29,20,0.0
29,37,0.0
29,13,0.0
29,3,0.0
29,29,1.0
29,29,1.0
29,15,0.0
29,85,0.0
29,26,0.4
29,24,0.0
29,0,0.0
29,55,0.0
29,49,0.0
29,54,0.0
29,21,0.0
29,3,0.0
29,64,0.0
29,75,0.0
29,20,0.0
29,37,0.0
29,21,0.0
29,29,1.0
