predict,actual,score
22,24,0.6000000000000001
38,34,0.2
31,31,1.0
23,26,0.4
43,45,0.6000000000000001
21,3,0.0
15,13,0.6000000000000001
16,14,0.6000000000000001
31,31,1.0
16,0,0.0
57,59,0.6000000000000001
26,24,0.6000000000000001
20,18,0.6000000000000001
24,27,0.4
22,26,0.2
17,3,0.0
53,54,0.8
30,26,0.2
47,61,0.0
28,40,0.0
50,58,0.0
22,27,0.0
49,45,0.2
31,34,0.4
31,29,0.6000000000000001
22,27,0.0
30,38,0.0
16,3,0.0
15,17,0.6000000000000001
17,12,0.0
37,31,0.0
25,21,0.2
20,23,0.4
34,55,0.0
53,64,0.0
27,31,0.2
52,54,0.6000000000000001
60,70,0.0
23,27,0.2
23,26,0.4
29,24,0.0
28,35,0.0
33,41,0.0
25,13,0.0
20,27,0.0
19,13,0.0
24,24,1.0
25,24,0.8
33,34,0.8
17,34,0.0
15,13,0.6000000000000001
15,0,0.0
33,34,0.8
17,20,0.4
17,0,0.0
44,40,0.2
28,26,0.6000000000000001
16,24,0.0
39,34,0.0
21,34,0.0
33,31,0.6000000000000001
26,27,0.8
26,27,0.8
24,26,0.6000000000000001
52,52,1.0
28,27,0.8
39,41,0.6000000000000001
41,37,0.2
36,37,0.8
22,26,0.2
28,29,0.8
34,34,1.0
50,52,0.6000000000000001
23,27,0.2
29,29,1.0
16,0,0.0
16,1,0.0
60,85,0.0
58,68,0.0
38,37,0.8
15,6,0.0
27,27,1.0
45,58,0.0
34,45,0.0
27,27,1.0
27,26,0.8
46,37,0.0
21,26,0.0
24,26,0.6000000000000001
48,63,0.0
19,24,0.0
15,0,0.0
36,31,0.0
38,43,0.0
24,27,0.4
16,7,0.0
58,69,0.0
54,67,0.0
32,52,0.0
16,21,0.0
16,10,0.0
46,58,0.0
17,24,0.0
20,23,0.4
31,54,0.0
51,54,0.4
40,49,0.0
27,26,0.8
20,20,1.0
46,55,0.0
17,20,0.4
47,51,0.2
44,40,0.2
18,27,0.0
17,1,0.0
22,27,0.0
16,12,0.2
30,34,0.2
32,31,0.8
15,17,0.6000000000000001
22,34,0.0
27,21,0.0
38,40,0.6000000000000001
16,27,0.0
19,24,0.0
42,41,0.8
34,27,0.0
15,0,0.0
23,13,0.0
30,26,0.2
28,34,0.0
16,0,0.0
49,81,0.0
15,5,0.0
27,29,0.6000000000000001
16,14,0.6000000000000001
52,49,0.4
19,13,0.0
21,26,0.0
42,41,0.8
79,90,0.0
77,75,0.6000000000000001
15,0,0.0
26,34,0.0
24,27,0.4
43,59,0.0
25,26,0.8
28,54,0.0
21,21,1.0
15,0,0.0
16,10,0.0
22,29,0.0
25,27,0.6000000000000001
28,29,0.8
18,8,0.0
21,23,0.6000000000000001
27,54,0.0
50,49,0.8
22,26,0.2
25,26,0.8
17,0,0.0
82,85,0.4
17,10,0.0
24,31,0.0
51,52,0.8
16,7,0.0
21,26,0.0
52,52,1.0
25,29,0.2
33,35,0.6000000000000001
24,26,0.6000000000000001
16,17,0.8
43,41,0.6000000000000001
28,24,0.2
51,43,0.0
32,59,0.0
50,52,0.6000000000000001
85,85,1.0
26,26,1.0
27,29,0.6000000000000001
27,27,1.0
47,69,0.0
16,5,0.0
50,76,0.0
57,59,0.6000000000000001
42,45,0.4
17,3,0.0
52,59,0.0
17,17,1.0
31,29,0.6000000000000001
54,55,0.8
15,0,0.0
23,20,0.4
15,6,0.0
23,26,0.4
34,43,0.0
32,34,0.6000000000000001
43,49,0.0
18,0,0.0
21,21,1.0
54,59,0.0
33,34,0.8
21,26,0.0
27,27,1.0
16,7,0.0
28,31,0.4
20,27,0.0
34,40,0.0
34,41,0.0
45,49,0.2
41,46,0.0
23,26,0.4
33,34,0.8
41,49,0.0
16,17,0.8
30,27,0.4
26,29,0.4
30,41,0.0
16,20,0.2
16,24,0.0
24,21,0.4
16,7,0.0
20,24,0.2
26,24,0.6000000000000001
30,37,0.0
30,29,0.8
20,24,0.2
32,34,0.6000000000000001
27,26,0.8
30,31,0.8
30,35,0.0
15,17,0.6000000000000001
28,31,0.4
26,26,1.0
16,14,0.6000000000000001
19,24,0.0
50,48,0.6000000000000001
52,69,0.0
28,29,0.8
28,21,0.0
38,40,0.6000000000000001
23,31,0.0
16,10,0.0
19,27,0.0
15,6,0.0
16,10,0.0
16,3,0.0
22,27,0.0
16,1,0.0
47,49,0.6000000000000001
63,65,0.6000000000000001
35,27,0.0
23,27,0.2
18,34,0.0
31,31,1.0
27,27,1.0
21,27,0.0
51,46,0.0
40,35,0.0
25,29,0.2
23,24,0.8
24,27,0.4
42,41,0.8
50,52,0.6000000000000001
16,0,0.0
36,64,0.0
15,3,0.0
16,1,0.0
26,29,0.4
53,51,0.6000000000000001
24,27,0.4
26,32,0.0
28,27,0.8
19,7,0.0
39,54,0.0
28,34,0.0
30,52,0.0
21,24,0.4
44,67,0.0
25,21,0.2
20,23,0.4
32,29,0.4
25,31,0.0
29,24,0.0
46,40,0.0
18,23,0.0
26,27,0.8
19,24,0.0
46,46,1.0
45,27,0.0
24,26,0.6000000000000001
24,26,0.6000000000000001
15,0,0.0
41,40,0.8
64,74,0.0
19,29,0.0
21,29,0.0
26,27,0.8
15,17,0.6000000000000001
15,12,0.4
19,1,0.0
27,34,0.0
35,26,0.0
32,43,0.0
16,27,0.0
28,29,0.8
47,58,0.0
21,5,0.0
20,15,0.0
25,31,0.0
63,68,0.0
16,3,0.0
37,49,0.0
23,21,0.6000000000000001
29,34,0.0
41,55,0.0
26,27,0.8
26,24,0.6000000000000001
17,23,0.0
22,20,0.6000000000000001
27,29,0.6000000000000001
80,85,0.0
20,26,0.0
29,20,0.0
36,29,0.0
22,29,0.0
21,24,0.4
52,69,0.0
25,29,0.2
34,35,0.8
30,31,0.8
47,58,0.0
52,49,0.4
25,48,0.0
29,27,0.6000000000000001
40,49,0.0
28,27,0.8
22,3,0.0
48,55,0.0
18,0,0.0
40,49,0.0
24,29,0.0
18,1,0.0
16,26,0.0
25,26,0.8
22,26,0.2
31,40,0.0
42,54,0.0
26,27,0.8
16,3,0.0
64,62,0.6000000000000001
19,20,0.8
45,52,0.0
47,48,0.8
39,45,0.0
15,1,0.0
20,20,1.0
21,24,0.4
21,24,0.4
33,40,0.0
17,24,0.0
16,17,0.8
17,1,0.0
34,41,0.0
48,52,0.2
30,34,0.2
76,71,0.0
23,31,0.0
25,27,0.6000000000000001
43,37,0.0
30,26,0.2
26,26,1.0
20,26,0.0
23,26,0.4
51,51,1.0
16,1,0.0
53,59,0.0
22,24,0.6000000000000001
33,41,0.0
16,12,0.2
15,17,0.6000000000000001
40,52,0.0
42,41,0.8
16,15,0.8
24,29,0.0
16,12,0.2
16,8,0.0
31,29,0.6000000000000001
28,26,0.6000000000000001
46,58,0.0
28,35,0.0
15,3,0.0
19,1,0.0
17,13,0.2
21,23,0.6000000000000001
25,26,0.8
30,26,0.2
38,49,0.0
20,26,0.0
39,41,0.6000000000000001
15,3,0.0
24,26,0.6000000000000001
36,55,0.0
21,24,0.4
37,40,0.4
33,26,0.0
18,26,0.0
52,63,0.0
20,21,0.8
15,13,0.6000000000000001
50,58,0.0
15,0,0.0
29,55,0.0
33,54,0.0
15,8,0.0
32,38,0.0
29,29,1.0
15,3,0.0
26,29,0.4
55,75,0.0
22,20,0.6000000000000001
43,45,0.6000000000000001
47,55,0.0
34,46,0.0
23,24,0.8
42,75,0.0
21,26,0.0
21,18,0.4
27,29,0.6000000000000001
17,10,0.0
30,31,0.8
22,24,0.6000000000000001
22,20,0.6000000000000001
17,13,0.2
28,31,0.4
34,34,1.0
35,38,0.4
30,26,0.2
24,24,1.0
21,29,0.0
16,13,0.4
22,26,0.2
33,55,0.0
64,81,0.0
29,31,0.6000000000000001
55,63,0.0
26,27,0.8
46,29,0.0
56,54,0.6000000000000001
33,49,0.0
17,17,1.0
64,69,0.0
19,26,0.0
17,14,0.4
29,29,1.0
23,29,0.0
39,40,0.8
48,51,0.4
24,24,1.0
49,52,0.4
41,40,0.8
28,26,0.6000000000000001
49,71,0.0
36,38,0.6000000000000001
38,35,0.4
20,17,0.4
60,75,0.0
24,24,1.0
61,75,0.0
30,27,0.4
28,26,0.6000000000000001
15,0,0.0
16,0,0.0
29,34,0.0
16,35,0.0
31,27,0.2
48,49,0.8
21,27,0.0
27,31,0.2
16,20,0.2
47,73,0.0
20,26,0.0
49,51,0.6000000000000001
22,20,0.6000000000000001
24,24,1.0
21,29,0.0
26,62,0.0
16,18,0.6000000000000001
26,27,0.8
22,23,0.8
23,24,0.8
25,26,0.8
20,24,0.2
19,21,0.6000000000000001
18,26,0.0
23,13,0.0
28,37,0.0
29,24,0.0
21,21,1.0
19,24,0.0
25,29,0.2
63,62,0.8
37,37,1.0
50,58,0.0
21,20,0.8
27,26,0.8
42,61,0.0
56,64,0.0
17,5,0.0
27,31,0.2
60,62,0.6000000000000001
29,40,0.0
55,81,0.0
16,20,0.2
45,58,0.0
23,24,0.8
16,3,0.0
15,3,0.0
36,38,0.6000000000000001
37,45,0.0
17,24,0.0
35,34,0.8
18,18,1.0
41,45,0.2
18,29,0.0
29,29,1.0
31,32,0.8
34,64,0.0
31,37,0.0
16,0,0.0
32,23,0.0
26,34,0.0
26,27,0.8
23,26,0.4
17,24,0.0
29,24,0.0
31,29,0.6000000000000001
51,43,0.0
19,32,0.0
16,5,0.0
24,29,0.0
79,79,1.0
54,65,0.0
60,62,0.6000000000000001
25,27,0.6000000000000001
30,34,0.2
19,21,0.6000000000000001
15,13,0.6000000000000001
23,29,0.0
21,24,0.4
33,37,0.2
31,27,0.2
25,31,0.0
15,0,0.0
23,26,0.4
32,37,0.0
68,80,0.0
21,20,0.8
23,27,0.2
35,34,0.8
61,75,0.0
20,26,0.0
53,80,0.0
23,24,0.8
48,55,0.0
41,68,0.0
33,34,0.8
22,20,0.6000000000000001
57,67,0.0
25,24,0.8
22,26,0.2
27,29,0.6000000000000001
17,20,0.4
28,35,0.0
30,34,0.2
43,55,0.0
22,26,0.2
32,31,0.8
20,6,0.0
45,43,0.6000000000000001
24,20,0.2
46,55,0.0
57,63,0.0
32,58,0.0
39,63,0.0
32,49,0.0
27,6,0.0
55,80,0.0
33,35,0.6000000000000001
20,24,0.2
26,29,0.4
25,29,0.2
47,52,0.0
21,24,0.4
47,40,0.0
45,69,0.0
15,0,0.0
15,13,0.6000000000000001
37,35,0.6000000000000001
48,45,0.4
42,49,0.0
32,41,0.0
17,24,0.0
49,43,0.0
53,82,0.0
43,46,0.4
48,54,0.0
25,37,0.0
22,24,0.6000000000000001
15,10,0.0
29,41,0.0
26,38,0.0
30,34,0.2
32,40,0.0
17,5,0.0
29,21,0.0
24,24,1.0
54,55,0.8
22,31,0.0
16,3,0.0
16,3,0.0
38,37,0.8
57,55,0.6000000000000001
35,40,0.0
16,15,0.8
48,54,0.0
37,49,0.0
73,77,0.2
55,55,1.0
16,15,0.8
25,24,0.8
62,67,0.0
29,52,0.0
17,17,1.0
23,21,0.6000000000000001
34,43,0.0
16,0,0.0
16,20,0.2
15,0,0.0
15,6,0.0
18,17,0.8
25,20,0.0
29,27,0.6000000000000001
20,24,0.2
34,31,0.4
71,79,0.0
20,23,0.4
28,29,0.8
47,35,0.0
23,31,0.0
16,0,0.0
30,38,0.0
21,26,0.0
26,29,0.4
25,27,0.6000000000000001
16,0,0.0
23,26,0.4
16,15,0.8
16,10,0.0
16,10,0.0
28,17,0.0
16,20,0.2
19,0,0.0
27,31,0.2
26,27,0.8
17,1,0.0
23,29,0.0
45,64,0.0
16,6,0.0
28,29,0.8
16,10,0.0
16,17,0.8
24,23,0.8
44,31,0.0
24,58,0.0
28,20,0.0
43,40,0.4
36,40,0.2
34,64,0.0
39,52,0.0
66,75,0.0
24,26,0.6000000000000001
46,54,0.0
31,48,0.0
33,29,0.2
23,21,0.6000000000000001
33,49,0.0
48,46,0.6000000000000001
43,61,0.0
21,80,0.0
19,17,0.6000000000000001
17,6,0.0
27,24,0.4
46,45,0.8
22,27,0.0
17,20,0.4
29,29,1.0
24,29,0.0
15,3,0.0
20,24,0.2
90,86,0.2
44,49,0.0
23,26,0.4
16,0,0.0
29,46,0.0
54,55,0.8
23,26,0.4
38,41,0.4
33,29,0.2
17,20,0.4
40,52,0.0
30,27,0.4
16,17,0.8
49,49,1.0
25,27,0.6000000000000001
22,24,0.6000000000000001
21,26,0.0
27,34,0.0
24,27,0.4
75,69,0.0
23,27,0.2
64,77,0.0
16,8,0.0
53,64,0.0
28,34,0.0
46,37,0.0
36,35,0.8
26,31,0.0
31,34,0.4
47,54,0.0
24,24,1.0
20,1,0.0
23,24,0.8
16,3,0.0
16,0,0.0
25,24,0.8
26,27,0.8
23,34,0.0
23,3,0.0
32,34,0.6000000000000001
21,26,0.0
28,26,0.6000000000000001
21,26,0.0
30,37,0.0
29,31,0.6000000000000001
19,24,0.0
18,21,0.4
70,69,0.8
40,54,0.0
16,13,0.4
36,24,0.0
18,17,0.8
43,83,0.0
30,31,0.8
30,32,0.6000000000000001
26,34,0.0
40,45,0.0
73,73,1.0
35,29,0.0
15,7,0.0
19,26,0.0
23,17,0.0
17,24,0.0
25,20,0.0
49,55,0.0
25,27,0.6000000000000001
23,24,0.8
26,24,0.6000000000000001
17,45,0.0
28,24,0.2
15,7,0.0
33,40,0.0
31,37,0.0
15,15,1.0
24,26,0.6000000000000001
46,35,0.0
27,26,0.8
27,26,0.8
22,24,0.6000000000000001
17,18,0.8
53,52,0.8
60,55,0.0
23,26,0.4
16,0,0.0
30,43,0.0
29,41,0.0
62,63,0.8
27,34,0.0
28,21,0.0
27,31,0.2
52,59,0.0
52,54,0.6000000000000001
63,75,0.0
16,13,0.4
15,20,0.0
34,34,1.0
26,20,0.0
28,26,0.6000000000000001
30,45,0.0
17,20,0.4
32,67,0.0
29,26,0.4
26,34,0.0
21,27,0.0
22,24,0.6000000000000001
42,37,0.0
29,40,0.0
28,29,0.8
29,27,0.6000000000000001
46,45,0.8
45,65,0.0
18,31,0.0
24,27,0.4
26,26,1.0
41,40,0.8
47,48,0.8
31,29,0.6000000000000001
42,41,0.8
25,29,0.2
34,34,1.0
25,26,0.8
15,3,0.0
18,3,0.0
34,34,1.0
64,85,0.0
29,57,0.0
41,37,0.2
16,0,0.0
62,68,0.0
59,75,0.0
44,45,0.8
52,52,1.0
16,10,0.0
27,31,0.2
15,3,0.0
23,23,1.0
34,43,0.0
26,27,0.8
63,68,0.0
16,8,0.0
23,27,0.2
18,3,0.0
23,24,0.8
43,46,0.4
36,40,0.2
41,37,0.2
29,27,0.6000000000000001
23,26,0.4
64,64,1.0
27,31,0.2
46,68,0.0
27,27,1.0
16,15,0.8
16,3,0.0
16,8,0.0
19,21,0.6000000000000001
42,55,0.0
23,27,0.2
83,82,0.8
29,34,0.0
16,20,0.2
33,34,0.8
25,32,0.0
23,31,0.0
50,71,0.0
27,31,0.2
39,48,0.0
21,17,0.2
46,58,0.0
42,38,0.2
16,14,0.6000000000000001
23,24,0.8
25,24,0.8
56,65,0.0
21,34,0.0
16,24,0.0
32,31,0.8
21,21,1.0
34,34,1.0
16,15,0.8
23,29,0.0
24,26,0.6000000000000001
21,10,0.0
26,26,1.0
17,0,0.0
25,26,0.8
61,61,1.0
51,74,0.0
23,34,0.0
32,35,0.4
20,17,0.4
36,40,0.2
21,26,0.0
17,17,1.0
19,21,0.6000000000000001
25,21,0.2
17,20,0.4
68,75,0.0
41,34,0.0
34,35,0.8
16,24,0.0
16,15,0.8
26,27,0.8
23,26,0.4
19,20,0.8
39,46,0.0
18,0,0.0
52,59,0.0
21,3,0.0
28,31,0.4
16,15,0.8
20,27,0.0
19,27,0.0
28,24,0.2
26,26,1.0
26,34,0.0
48,58,0.0
35,34,0.8
28,31,0.4
19,24,0.0
61,65,0.2
17,18,0.8
18,26,0.0
20,26,0.0
33,24,0.0
15,0,0.0
34,31,0.4
27,32,0.0
52,65,0.0
16,26,0.0
33,34,0.8
23,31,0.0
23,27,0.2
16,13,0.4
32,32,1.0
29,32,0.4
19,0,0.0
15,3,0.0
20,24,0.2
25,26,0.8
21,20,0.8
68,85,0.0
28,31,0.4
28,32,0.2
48,61,0.0
15,10,0.0
23,31,0.0
43,45,0.6000000000000001
26,26,1.0
15,1,0.0
16,26,0.0
23,29,0.0
15,15,1.0
28,37,0.0
16,3,0.0
17,6,0.0
28,29,0.8
20,21,0.8
19,26,0.0
24,24,1.0
29,26,0.4
37,40,0.4
21,20,0.8
16,8,0.0
58,58,1.0
18,26,0.0
27,29,0.6000000000000001
22,24,0.6000000000000001
29,31,0.6000000000000001
28,31,0.4
36,40,0.2
41,43,0.6000000000000001
26,24,0.6000000000000001
25,26,0.8
21,26,0.0
21,27,0.0
23,27,0.2
47,61,0.0
20,20,1.0
37,45,0.0
35,31,0.2
21,54,0.0
16,1,0.0
28,26,0.6000000000000001
18,1,0.0
27,34,0.0
29,40,0.0
30,35,0.0
35,38,0.4
57,52,0.0
20,21,0.8
30,27,0.4
20,26,0.0
15,0,0.0
47,51,0.2
32,35,0.4
31,31,1.0
40,35,0.0
40,40,1.0
26,31,0.0
52,59,0.0
47,46,0.8
17,1,0.0
22,27,0.0
26,26,1.0
42,49,0.0
25,26,0.8
27,29,0.6000000000000001
24,3,0.0
19,26,0.0
22,26,0.2
33,37,0.2
50,59,0.0
22,24,0.6000000000000001
39,64,0.0
45,41,0.2
24,24,1.0
37,69,0.0
16,13,0.4
32,43,0.0
22,17,0.0
36,37,0.8
22,26,0.2
17,20,0.4
48,46,0.6000000000000001
20,24,0.2
46,40,0.0
15,8,0.0
18,18,1.0
28,31,0.4
60,69,0.0
24,31,0.0
32,38,0.0
29,32,0.4
30,40,0.0
34,27,0.0
17,15,0.6000000000000001
17,21,0.2
20,24,0.2
23,21,0.6000000000000001
23,27,0.2
76,62,0.0
39,49,0.0
17,17,1.0
20,27,0.0
19,26,0.0
16,18,0.6000000000000001
17,0,0.0
41,48,0.0
34,32,0.6000000000000001
42,43,0.8
19,20,0.8
16,5,0.0
16,5,0.0
60,59,0.8
31,37,0.0
16,6,0.0
16,20,0.2
34,29,0.0
15,0,0.0
29,69,0.0
29,34,0.0
33,37,0.2
48,52,0.2
52,67,0.0
33,29,0.2
38,37,0.8
15,0,0.0
16,5,0.0
32,34,0.6000000000000001
44,52,0.0
16,0,0.0
25,29,0.2
16,14,0.6000000000000001
24,27,0.4
38,43,0.0
43,43,1.0
33,29,0.2
23,27,0.2
15,0,0.0
21,37,0.0
25,26,0.8
21,27,0.0
16,0,0.0
27,31,0.2
24,63,0.0
